  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.44,	  0.00,	  0.70,	 -0.35,	  0.00,	  0.00,	 -0.44,	  0.00,	  0.70,	 -0.35,	  0.00,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.44,	  0.00,	  0.70,	 -0.35,	  0.00,	  0.00,	 -0.44,	  0.00,	  0.70,	 -0.35,	  0.00,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.44,	  0.00,	  0.70,	 -0.35,	  0.00,	  0.00,	 -0.44,	  0.00,	  0.70,	 -0.35,	  0.00,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.44,	  0.00,	  0.70,	 -0.35,	 -0.00,	  0.00,	 -0.44,	  0.00,	  0.70,	 -0.35,	 -0.00,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.44,	  0.00,	  0.70,	 -0.35,	 -0.00,	  0.00,	 -0.44,	  0.00,	  0.70,	 -0.35,	 -0.00,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.44,	  0.00,	  0.70,	 -0.35,	 -0.00,	  0.00,	 -0.44,	  0.00,	  0.70,	 -0.35,	 -0.00,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.44,	  0.00,	  0.70,	 -0.35,	 -0.01,	  0.00,	 -0.44,	  0.00,	  0.70,	 -0.35,	 -0.01,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.43,	  0.01,	  0.70,	 -0.35,	 -0.01,	  0.00,	 -0.43,	  0.01,	  0.70,	 -0.35,	 -0.01,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.43,	  0.01,	  0.70,	 -0.35,	 -0.01,	  0.00,	 -0.43,	  0.01,	  0.70,	 -0.35,	 -0.01,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.43,	  0.01,	  0.70,	 -0.35,	 -0.02,	  0.00,	 -0.43,	  0.01,	  0.70,	 -0.35,	 -0.02,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.43,	  0.02,	  0.70,	 -0.35,	 -0.02,	  0.00,	 -0.43,	  0.02,	  0.70,	 -0.35,	 -0.02,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.43,	  0.02,	  0.70,	 -0.35,	 -0.02,	  0.00,	 -0.43,	  0.02,	  0.70,	 -0.35,	 -0.02,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.43,	  0.02,	  0.70,	 -0.35,	 -0.03,	  0.00,	 -0.43,	  0.02,	  0.70,	 -0.35,	 -0.03,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.43,	  0.03,	  0.70,	 -0.35,	 -0.03,	  0.00,	 -0.43,	  0.03,	  0.70,	 -0.35,	 -0.03,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.43,	  0.03,	  0.70,	 -0.35,	 -0.04,	  0.00,	 -0.43,	  0.03,	  0.70,	 -0.35,	 -0.04,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.43,	  0.04,	  0.70,	 -0.35,	 -0.05,	  0.00,	 -0.43,	  0.04,	  0.70,	 -0.35,	 -0.05,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.43,	  0.04,	  0.70,	 -0.35,	 -0.05,	  0.00,	 -0.43,	  0.04,	  0.70,	 -0.35,	 -0.05,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.43,	  0.05,	  0.70,	 -0.35,	 -0.06,	  0.00,	 -0.43,	  0.05,	  0.70,	 -0.35,	 -0.06,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.43,	  0.06,	  0.70,	 -0.35,	 -0.07,	  0.00,	 -0.43,	  0.06,	  0.70,	 -0.35,	 -0.07,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.43,	  0.06,	  0.70,	 -0.35,	 -0.08,	  0.00,	 -0.43,	  0.06,	  0.70,	 -0.35,	 -0.08,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.43,	  0.07,	  0.70,	 -0.35,	 -0.09,	  0.00,	 -0.43,	  0.07,	  0.70,	 -0.35,	 -0.09,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.43,	  0.08,	  0.70,	 -0.35,	 -0.10,	  0.00,	 -0.43,	  0.08,	  0.70,	 -0.35,	 -0.10,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.43,	  0.08,	  0.70,	 -0.35,	 -0.11,	  0.00,	 -0.43,	  0.09,	  0.70,	 -0.35,	 -0.11,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.43,	  0.09,	  0.70,	 -0.35,	 -0.11,	  0.00,	 -0.43,	  0.10,	  0.70,	 -0.35,	 -0.12,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.43,	  0.10,	  0.70,	 -0.36,	 -0.12,	  0.00,	 -0.43,	  0.11,	  0.70,	 -0.36,	 -0.13,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.43,	  0.10,	  0.70,	 -0.36,	 -0.12,	  0.00,	 -0.43,	  0.11,	  0.70,	 -0.36,	 -0.14,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.43,	  0.10,	  0.70,	 -0.36,	 -0.13,	  0.00,	 -0.43,	  0.12,	  0.70,	 -0.36,	 -0.15,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.42,	  0.11,	  0.70,	 -0.36,	 -0.13,	  0.00,	 -0.42,	  0.13,	  0.70,	 -0.36,	 -0.16,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.42,	  0.11,	  0.70,	 -0.36,	 -0.14,	  0.00,	 -0.42,	  0.13,	  0.70,	 -0.36,	 -0.17,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.42,	  0.11,	  0.70,	 -0.36,	 -0.14,	  0.00,	 -0.42,	  0.14,	  0.70,	 -0.36,	 -0.17,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.42,	  0.11,	  0.70,	 -0.36,	 -0.14,	  0.00,	 -0.42,	  0.14,	  0.70,	 -0.36,	 -0.18,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.42,	  0.11,	  0.70,	 -0.36,	 -0.14,	  0.00,	 -0.42,	  0.15,	  0.70,	 -0.36,	 -0.18,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.42,	  0.12,	  0.71,	 -0.37,	 -0.14,	  0.00,	 -0.42,	  0.15,	  0.70,	 -0.36,	 -0.19,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.43,	  0.12,	  0.73,	 -0.38,	 -0.15,	  0.00,	 -0.42,	  0.15,	  0.70,	 -0.37,	 -0.19,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.45,	  0.12,	  0.77,	 -0.40,	 -0.15,	  0.00,	 -0.41,	  0.16,	  0.70,	 -0.37,	 -0.19,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.48,	  0.12,	  0.81,	 -0.42,	 -0.14,	  0.00,	 -0.41,	  0.16,	  0.69,	 -0.37,	 -0.20,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.51,	  0.12,	  0.87,	 -0.44,	 -0.14,	  0.00,	 -0.41,	  0.16,	  0.69,	 -0.37,	 -0.20,	  1.40,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.54,	  0.11,	  0.92,	 -0.46,	 -0.14,	  0.00,	 -0.41,	  0.16,	  0.69,	 -0.37,	 -0.19,	  1.39,	 -0.35,	  1.40,	  1.57
  0.00,	  0.00,	  1.40,	  0.35,	 -1.40,	 -1.57,	  0.00,	 -0.58,	  0.11,	  0.96,	 -0.47,	 -0.14,	  0.00,	 -0.40,	  0.15,	  0.69,	 -0.38,	 -0.19,	  1.39,	 -0.35,	  1.40,	  1.57
